Task,Category,Start,End,Completion
Set-up Thesis,Phase,01-11-2023,30-11-2023,1
Literature Review,Phase,01-12-2023,29-02-2024,0.2
Learn PyWake,Phase,01-12-2023,08-01-2024,0.8
Research Methodology,Phase,18-12-2023,13-02-2024,0.8
Learn Machine Learning,Phase,01-01-2024,29-02-2024,0.2
Generate Wake Data ,Task,01-02-2024,28-02-2024,0
Train Machine Learning Model,Task,28-02-2024,21-03-2024,0
Thesis Draft,Phase,01-03-2024,17-06-2024,0
Midterm Review,Deadline,01-04-2024,02-04-2024,0
Green Light,Deadline,17-06-2024,18-06-2024,0
Final Thesis,Phase,18-06-2024,28-07-2024,0
Hand-In Thesis,Deadline,28-07-2024,29-07-2024,0
Defence Preparation,Phase,29-07-2024,19-08-2024,0
Thesis Defence,Deadline,19-08-2024,20-08-2024,0
